,epoch,loss,mae,val_loss,val_mae
80,81,10613.7548828125,47.33614730834961,11544.7666015625,48.17862319946289
81,82,10685.31640625,46.902259826660156,11531.0546875,47.2867546081543
82,83,10387.11328125,46.539546966552734,11516.41796875,49.59858703613281
83,84,10388.2109375,46.69426345825195,11503.7939453125,49.38142395019531
84,85,11074.466796875,48.440948486328125,11562.2958984375,50.91914367675781
85,86,10383.2177734375,46.455448150634766,11594.5322265625,48.521888732910156
86,87,10210.5361328125,46.224788665771484,11453.130859375,48.5500373840332
87,88,10739.6552734375,46.78279113769531,11449.0771484375,47.231719970703125
88,89,10659.466796875,47.23344039916992,11569.1826171875,50.80427551269531
89,90,10454.23828125,46.568260192871094,11482.77734375,50.391082763671875
90,91,10773.8798828125,47.500003814697266,11560.9296875,51.410797119140625
91,92,10533.4931640625,46.437530517578125,11490.1953125,48.1033821105957
